theta_attr_grid,f_vals,grad_f_vals,hessian_f_vals
-15.0,149854.9,-127.5,-63.7
-14.5,149782.4,-163.7,-81.8
-14.0,149689.4,-210.1,-104.9
-13.5,149570.1,-269.7,-134.5
-13.0,149416.9,-346.1,-172.5
-12.5,149220.4,-444.0,-221.2
-12.0,148968.3,-569.5,-283.4
-11.5,148645.0,-730.3,-362.9
-11.0,148230.5,-936.1,-464.4
-10.5,147699.4,-1199.4,-593.8
-10.0,147019.0,-1535.8,-758.3
-9.5,146148.2,-1965.0,-966.9
-9.0,145034.4,-2511.8,-1230.7
-8.5,143611.6,-3207.1,-1563.1
-8.0,141796.3,-4089.0,-1979.9
-7.5,139483.8,-5204.2,-2499.9
-7.0,136543.7,-6609.6,-3144.4
-6.5,132814.5,-8373.4,-3937.6
-6.0,128097.3,-10576.2,-4904.7
-5.5,122149.7,-13310.9,-6068.5
-5.0,114680.8,-16678.8,-7435.6
-4.5,105349.6,-20773.1,-8957.4
-4.0,93779.8,-25629.0,-10422.9
-3.5,79617.6,-31086.8,-11203.8
-3.0,62699.0,-36472.6,-9772.4
-2.5,43443.5,-40005.1,-3173.3
-2.0,23584.5,-38134.6,12411.1
-1.5,7043.4,-25901.2,37819.2
-1.0,0.0,0.0,64789.5
-0.5,8846.2,36445.9,77339.1
0.0,36507.9,73239.1,65935.2
0.5,80290.7,99506.8,37601.5
1.0,133456.4,110680.2,8076.3
1.5,188845.9,109192.0,-12149.1
2.0,241419.3,100287.8,-21980.4
2.5,288640.4,88356.4,-24924.2
3.0,329700.9,75930.8,-24411.5
3.5,364687.5,64180.7,-22448.5
4.0,394072.3,53565.5,-19969.5
4.5,418466.8,44228.9,-17377.5
5.0,438515.4,36175.4,-14858.5
5.5,454845.7,29341.5,-12511.9
6.0,468043.3,23625.1,-10394.7
6.5,478636.7,18903.7,-8534.8
7.0,487091.0,15046.4,-6937.7
7.5,493805.6,11924.1,-5592.1
8.0,499117.4,9416.0,-4476.2
8.5,503305.9,7414.1,-3562.8
9.0,506600.0,5824.3,-2822.9
9.5,509185.5,4566.9,-2228.5
10.0,511211.3,3575.8,-1754.1
10.5,512796.5,2796.5,-1377.6
11.0,514035.7,2185.1,-1079.9
11.5,515003.6,1706.1,-845.3
12.0,515759.2,1331.4,-661.0
12.5,516348.6,1038.5,-516.4
13.0,516808.3,809.8,-403.1
13.5,517166.8,631.3,-314.6
14.0,517446.1,492.0,-245.3
14.5,517663.8,383.4,-191.3
15.0,517833.5,298.7,-149.1
