theta_attr_grid,f_vals,grad_f_vals,hessian_f_vals
-15.0,101208670.2,-4555372.7,-584048.9
-14.5,98856556.0,-4855928.3,-618167.3
-14.0,96349906.8,-5173484.0,-651944.7
-13.5,93680293.2,-5507699.1,-684672.4
-13.0,90839551.7,-5857833.7,-715456.8
-12.5,87820009.4,-6222648.2,-743186.4
-12.0,84614762.3,-6600285.0,-766495.8
-11.5,81218017.5,-6988133.0,-783728.3
-11.0,77625508.2,-7382671.8,-792899.3
-10.5,73834990.5,-7779299.8,-791663.0
-10.0,69846830.3,-8172147.3,-777288.9
-9.5,65664686.3,-8553880.8,-746654.2
-9.0,61296290.0,-8915510.4,-696262.0
-8.5,56754319.1,-9246215.5,-622299.4
-8.0,52057348.0,-9533212.0,-520749.2
-7.5,47230848.7,-9761692.5,-387573.5
-7.0,42308194.4,-9914880.1,-218985.7
-6.5,37331598.5,-9974243.3,-11825.4
-6.0,32352894.3,-9919925.0,235961.7
-5.5,27434037.1,-9731435.4,524749.4
-5.0,22647184.2,-9388648.7,852600.5
-4.5,18074197.4,-8873116.5,1214646.6
-4.0,13805415.5,-8169666.5,1602581.5
-3.5,9937572.0,-7268201.4,2004395.8
-3.0,6570794.8,-6165540.2,2404491.3
-2.5,3804719.6,-4867081.8,2784294.3
-2.0,1733870.7,-3388024.4,3123420.5
-1.5,442600.1,-1753871.0,3401351.2
-1.0,0.0,0.0,3599454.9
-0.5,455289.1,1829804.1,3703074.9
0.0,1834186.4,3685809.3,3703336.8
0.5,4136717.1,5515556.5,3598339.5
1.0,7336745.4,7267468.7,3393488.7
1.5,11383312.4,8894392.0,3100896.9
2.0,16203634.6,10356623.2,2737961.9
2.5,21707412.1,11624075.2,2325392.4
3.0,27791959.7,12677389.2,1885033.2
3.5,34347625.9,13507983.4,1437838.5
4.0,41262997.4,14117183.9,1002260.1
4.5,48429490.7,14514685.5,593197.5
5.0,55745066.6,14716635.9,221527.8
5.5,63116950.7,14743613.9,-105858.8
6.0,70463364.7,14618725.2,-385655.7
6.5,77714365.8,14365960.3,-617515.1
7.0,84811948.8,14008891.4,-803338.4
7.5,91709585.3,13569723.5,-946583.2
8.0,98371371.7,13068673.5,-1051650.8
8.5,104770939.9,12523627.7,-1123389.9
9.0,110890252.2,11950017.2,-1166720.1
9.5,116718377.4,11360852.5,-1186368.9
10.0,122250312.3,10766864.7,-1186704.5
10.5,127485891.4,10176711.5,-1171642.6
11.0,132428808.7,9597214.5,-1144609.8
11.5,137085761.3,9033604.6,-1108544.2
12.0,141465713.9,8489760.8,-1065921.4
12.5,145579279.7,7968431.8,-1018794.5
13.0,149438205.4,7471435.6,-968840.9
13.5,153054951.3,6999835.5,-917410.7
14.0,156442352.8,6554091.4,-865573.8
14.5,159613351.7,6134189.4,-814163.7
15.0,162580787.4,5739749.7,-763816.2
