stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,-2.248,-5.101,-4.178,-1.114,0.764,0.058,0.972,-0.459,-0.842,1889008102.155,1584,0,0,0.441
norefined,2,-1.786,-5.265,-4.188,-1.190,0.725,0.042,0.937,-0.481,-0.858,1599977557.554,1584,0,0,0.339
norefined,3,-1.302,-5.365,-4.248,-1.202,0.700,0.057,0.940,-0.475,-0.825,1032719446.806,1584,0,0,0.243
norefined,4,-0.819,-5.430,-4.330,-1.170,0.665,0.082,0.955,-0.452,-0.776,1157091768.279,1584,0,0,0.151
norefined,5,-1.309,-5.386,-4.296,-1.137,0.632,0.081,0.935,-0.386,-0.776,1014920469.264,1584,0,0,0.243
norefined,6,-0.825,-5.450,-4.374,-1.108,0.601,0.108,0.951,-0.365,-0.730,1134372080.299,1584,0,0,0.151
norefined,7,-1.315,-5.406,-4.338,-1.076,0.569,0.107,0.931,-0.300,-0.730,998847874.849,1584,0,0,0.243
norefined,8,-0.830,-5.470,-4.413,-1.052,0.540,0.135,0.948,-0.281,-0.686,1113312826.337,1584,0,0,0.152
norefined,9,-1.320,-5.427,-4.375,-1.020,0.510,0.133,0.927,-0.219,-0.686,984373015.146,1584,0,0,0.243
norefined,10,-0.834,-5.491,-4.447,-0.999,0.482,0.162,0.945,-0.201,-0.645,1093977708.745,1584,0,0,0.152
refined,11,-1.320,-5.427,-4.375,-1.020,0.510,0.133,0.927,-0.219,-0.686,984373015.146,1584,0,0,0.243
refined,12,-0.243,-2.681,-0.855,0.713,-1.449,1.140,0.100,0.947,0.027,1632746233.833,1584,0,0,0.091
refined,13,-0.110,-0.255,-0.168,0.016,0.082,-0.152,0.434,-0.127,-0.348,1166201501.210,1584,0,0,0.432
refined,14,-0.140,-0.974,-0.350,0.214,-0.246,0.189,0.339,0.174,-0.199,638995547.977,1584,0,0,0.144
refined,15,-0.162,-1.122,-0.384,0.224,-0.395,0.311,0.389,0.223,-0.271,619181298.704,1584,0,0,0.144
refined,16,-0.169,-1.176,-0.400,0.228,-0.412,0.321,0.407,0.243,-0.283,618151095.646,1584,0,0,0.143
refined,17,-0.170,-1.189,-0.405,0.227,-0.412,0.322,0.411,0.249,-0.287,618073373.238,1584,0,0,0.143
refined,18,-0.171,-1.193,-0.407,0.227,-0.412,0.321,0.412,0.251,-0.288,618066291.029,1584,0,0,0.143
refined,19,-0.171,-1.194,-0.407,0.227,-0.412,0.321,0.413,0.252,-0.289,618065619.256,1584,0,0,0.143
refined,20,-0.171,-1.195,-0.407,0.226,-0.412,0.321,0.413,0.252,-0.289,618065555.086,1584,0,0,0.143
