stage,iter,theta_tt,theta_reliable_speed,theta_incident,theta_bus_stop,theta_intersection,theta_low_inc,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,0.000,0.000,0.000,0.000,0.000,0.000,273069735.575,13905,0,0,
norefined,2,-0.101,0.000,-0.391,0.000,0.000,-0.000,229086647.188,15441,7296,1627,
norefined,3,-0.159,0.000,-0.579,-0.047,0.000,-0.265,218597632.003,17105,7906,1739,
norefined,4,-0.188,0.000,-0.550,-0.090,0.000,-0.160,210445553.089,18777,7942,1747,
norefined,5,-0.208,0.000,-0.512,-0.143,0.000,-0.046,201661890.568,20449,7943,1811,
norefined,6,-0.221,0.000,-0.474,-0.171,0.000,0.000,198293924.752,22113,7906,1774,
norefined,7,-0.257,0.000,-0.484,-0.180,0.000,0.000,195459359.811,23793,7980,1809,
norefined,8,-0.290,0.000,-0.469,-0.190,0.000,0.000,193232208.395,25450,7867,1767,
norefined,9,-0.325,0.000,-0.458,-0.198,0.000,0.000,191594715.427,27130,7980,1793,
norefined,10,-0.364,0.000,-0.454,-0.202,0.000,0.000,191471565.071,27130,0,0,
refined,11,-0.364,,-0.454,-0.202,,,191471565.071,27130,0,0,
refined,12,-0.623,,-0.352,-0.194,,,184821077.943,27130,5761,669,
refined,13,-0.622,,-0.231,0.000,,,180910561.847,27130,6242,704,
refined,14,-0.568,,-0.220,0.000,,,180034787.348,27130,6277,671,
refined,15,-0.551,,-0.216,0.000,,,179313488.491,27130,6283,623,
refined,16,-0.510,,-0.233,0.000,,,178604317.329,27130,6253,550,
refined,17,-0.484,,-0.242,0.000,,,178413739.587,27130,6319,489,
refined,18,-0.468,,-0.246,0.000,,,178371191.975,27130,6234,468,
refined,19,-0.461,,-0.248,0.000,,,178168336.900,27130,6338,471,
refined,20,-0.458,,-0.249,0.000,,,178166886.276,27130,0,0,
