stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.094,"[-1.866, -0.322]",0.772,-2.829,0.006
norefined,c,-7.135,"[-11.94, -2.33]",4.805,-2.964,0.004
norefined,s,-3.607,"[-6.071, -1.143]",2.464,-2.922,0.005
norefined,k0,0.244,"[-0.596, 1.085]",0.840,0.580,0.564
norefined,k1,-0.882,"[-1.604, -0.16]",0.722,-2.439,0.017
norefined,k2,1.211,"[0.337, 2.085]",0.874,2.765,0.007
norefined,k3,1.056,"[0.001, 2.112]",1.055,1.997,0.050
norefined,k4,-1.159,"[-2.117, -0.202]",0.958,-2.417,0.018
norefined,k5,0.687,"[-0.196, 1.569]",0.882,1.553,0.125
refined,tt,-0.895,"[-1.209, -0.581]",0.314,-5.683,0.000
refined,c,-5.417,"[-7.237, -3.597]",1.820,-5.940,0.000
refined,s,-2.687,"[-3.623, -1.75]",0.937,-5.725,0.000
refined,k0,-0.019,"[-0.46, 0.421]",0.440,-0.088,0.930
refined,k1,0.144,"[-0.18, 0.468]",0.324,0.889,0.377
refined,k2,0.286,"[-0.143, 0.715]",0.429,1.330,0.188
refined,k3,0.327,"[-0.086, 0.74]",0.413,1.582,0.118
refined,k4,-0.139,"[-0.489, 0.212]",0.351,-0.789,0.433
refined,k5,0.131,"[-0.287, 0.549]",0.418,0.625,0.534
