stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.837,"[-1.386, -0.288]",0.549,-2.544,0.013
norefined,c,-5.215,"[-8.12, -2.31]",2.905,-2.994,0.004
norefined,s,-3.101,"[-5.059, -1.143]",1.958,-2.642,0.010
norefined,k0,-0.954,"[-2.022, 0.114]",1.068,-1.490,0.141
norefined,k1,0.274,"[-0.533, 1.081]",0.807,0.566,0.573
norefined,k2,0.600,"[-0.21, 1.409]",0.810,1.236,0.221
norefined,k3,-0.050,"[-0.653, 0.554]",0.604,-0.137,0.892
norefined,k4,-0.023,"[-0.503, 0.456]",0.480,-0.081,0.935
norefined,k5,0.462,"[-0.179, 1.104]",0.641,1.203,0.233
refined,tt,-1.139,"[-1.863, -0.414]",0.725,-2.622,0.011
refined,c,-6.089,"[-9.564, -2.613]",3.476,-2.922,0.005
refined,s,-3.073,"[-5.011, -1.134]",1.938,-2.644,0.010
refined,k0,-0.208,"[-1.013, 0.598]",0.806,-0.430,0.669
refined,k1,0.334,"[-0.36, 1.027]",0.693,0.803,0.425
refined,k2,0.121,"[-0.576, 0.818]",0.697,0.289,0.773
refined,k3,-0.132,"[-0.728, 0.464]",0.596,-0.369,0.713
refined,k4,0.079,"[-0.419, 0.577]",0.498,0.265,0.792
refined,k5,0.207,"[-0.421, 0.836]",0.629,0.550,0.584
