stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.137,"[-2.339, 0.065]",1.202,-1.888,0.063
norefined,c,-6.406,"[-13.137, 0.324]",6.731,-1.900,0.062
norefined,s,-3.842,"[-7.893, 0.208]",4.050,-1.894,0.063
norefined,k0,-1.289,"[-3.221, 0.643]",1.932,-1.332,0.187
norefined,k1,-0.919,"[-2.11, 0.272]",1.191,-1.540,0.128
norefined,k2,0.515,"[-0.848, 1.877]",1.362,0.754,0.454
norefined,k3,0.452,"[-1.04, 1.944]",1.492,0.605,0.547
norefined,k4,-1.068,"[-2.559, 0.422]",1.491,-1.430,0.157
norefined,k5,0.699,"[-1.517, 2.915]",2.216,0.629,0.531
refined,tt,-0.521,"[-0.7, -0.341]",0.179,-5.794,0.000
refined,c,-3.181,"[-4.351, -2.012]",1.169,-5.431,0.000
refined,s,-1.718,"[-2.308, -1.129]",0.589,-5.819,0.000
refined,k0,-0.052,"[-0.363, 0.259]",0.311,-0.334,0.739
refined,k1,-0.156,"[-0.489, 0.177]",0.333,-0.936,0.353
refined,k2,-0.304,"[-0.76, 0.151]",0.455,-1.334,0.187
refined,k3,-0.142,"[-0.52, 0.236]",0.378,-0.749,0.456
refined,k4,0.073,"[-0.307, 0.453]",0.380,0.384,0.703
refined,k5,-0.288,"[-0.811, 0.234]",0.522,-1.103,0.274
