stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.747,"[-1.121, -0.373]",0.374,-3.329,0.001
norefined,c,-5.823,"[-8.807, -2.838]",2.984,-3.254,0.002
norefined,s,-1.895,"[-2.977, -0.813]",1.082,-2.921,0.005
norefined,k0,-1.243,"[-2.16, -0.326]",0.917,-2.260,0.027
norefined,k1,0.699,"[-0.189, 1.588]",0.889,1.313,0.194
norefined,k2,0.565,"[-0.289, 1.418]",0.853,1.104,0.274
norefined,k3,-1.314,"[-2.512, -0.117]",1.197,-1.831,0.072
norefined,k4,-0.751,"[-1.91, 0.407]",1.159,-1.081,0.283
norefined,k5,-0.160,"[-1.082, 0.762]",0.922,-0.289,0.773
refined,tt,-0.937,"[-1.229, -0.645]",0.292,-5.352,0.000
refined,c,-5.144,"[-6.768, -3.52]",1.624,-5.282,0.000
refined,s,-2.665,"[-3.543, -1.786]",0.879,-5.058,0.000
refined,k0,0.232,"[-0.201, 0.665]",0.433,0.892,0.376
refined,k1,-0.122,"[-0.64, 0.396]",0.518,-0.392,0.696
refined,k2,-0.049,"[-0.417, 0.32]",0.368,-0.221,0.826
refined,k3,0.120,"[-0.412, 0.653]",0.532,0.377,0.707
refined,k4,-0.241,"[-0.833, 0.351]",0.592,-0.680,0.499
refined,k5,0.044,"[-0.411, 0.499]",0.455,0.162,0.872
