stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,12.903,1.727,0.000,0,9,3694308189.725,1351611185.414,76
refined,18.529,1.727,0.000,0,9,3694308189.725,1058857804.387,76
