stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.992,"[-2.178, 0.193]",1.185,-1.396,0.167
norefined,c,-7.526,"[-15.346, 0.295]",7.821,-1.605,0.113
norefined,s,-2.708,"[-6.137, 0.721]",3.429,-1.317,0.192
norefined,k0,-1.277,"[-2.732, 0.177]",1.454,-1.465,0.148
norefined,k1,-0.218,"[-2.292, 1.855]",2.074,-0.176,0.861
norefined,k2,0.437,"[-0.904, 1.778]",1.341,0.543,0.589
norefined,k3,-0.709,"[-2.22, 0.802]",1.511,-0.783,0.437
norefined,k4,-1.195,"[-2.84, 0.45]",1.645,-1.212,0.230
norefined,k5,0.952,"[-1.01, 2.915]",1.963,0.809,0.421
refined,tt,-0.852,"[-1.388, -0.316]",0.536,-2.651,0.010
refined,c,-4.452,"[-7.336, -1.568]",2.884,-2.574,0.012
refined,s,-2.752,"[-4.572, -0.932]",1.820,-2.522,0.014
refined,k0,0.137,"[-0.623, 0.897]",0.760,0.301,0.764
refined,k1,0.104,"[-0.941, 1.148]",1.044,0.165,0.869
refined,k2,-0.307,"[-0.976, 0.362]",0.669,-0.766,0.446
refined,k3,0.434,"[-0.469, 1.338]",0.903,0.802,0.426
refined,k4,-0.168,"[-0.919, 0.583]",0.751,-0.373,0.710
refined,k5,-0.205,"[-0.982, 0.572]",0.777,-0.439,0.662
