stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,9.006,1.727,0.000,0,9,4906786910.072,2220561797.741,76
refined,11.088,1.727,0.000,0,9,4906786910.072,1971007642.893,76
