stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.636,"[-1.282, 0.01]",0.646,-1.643,0.105
norefined,c,-6.021,"[-11.761, -0.28]",5.740,-1.749,0.085
norefined,s,-2.575,"[-4.824, -0.326]",2.249,-1.910,0.060
norefined,k0,-0.953,"[-2.766, 0.86]",1.813,-0.877,0.384
norefined,k1,-0.777,"[-2.499, 0.946]",1.722,-0.752,0.455
norefined,k2,0.725,"[-1.4, 2.851]",2.126,0.569,0.571
norefined,k3,0.361,"[-1.237, 1.959]",1.598,0.377,0.707
norefined,k4,0.352,"[-1.375, 2.079]",1.727,0.340,0.735
norefined,k5,-0.045,"[-1.7, 1.611]",1.656,-0.045,0.964
refined,tt,-0.534,"[-1.001, -0.068]",0.466,-1.913,0.060
refined,c,-3.071,"[-5.827, -0.315]",2.756,-1.859,0.067
refined,s,-1.555,"[-2.629, -0.481]",1.074,-2.414,0.019
refined,k0,-0.213,"[-1.227, 0.801]",1.014,-0.350,0.727
refined,k1,-0.702,"[-1.739, 0.336]",1.038,-1.128,0.263
refined,k2,0.005,"[-1.304, 1.313]",1.308,0.006,0.995
refined,k3,-0.026,"[-1.102, 1.05]",1.076,-0.040,0.968
refined,k4,-0.121,"[-1.144, 0.901]",1.022,-0.198,0.844
refined,k5,0.370,"[-0.748, 1.488]",1.118,0.552,0.583
