stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,89.247,2.023,0.000,76,0,9,2792009763.312,214960646.320
refined,169.084,2.023,0.000,76,0,9,2792009763.312,117742676.381
