stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,20.007,1.857,0.000,0,9,1550964350.532,215136223.327,38
refined,108.537,1.857,0.000,0,9,1550964350.532,44717248.979,38
