stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,39.877,1.727,0.000,0,9,2999327609.379,471845282.738,76
refined,98.414,1.727,0.000,0,9,2999327609.379,210926005.425,76
