stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.838,"[-1.48, -0.196]",0.642,-2.176,0.033
norefined,c,-5.040,"[-8.968, -1.113]",3.927,-2.141,0.036
norefined,s,-4.517,"[-7.808, -1.225]",3.292,-2.289,0.025
norefined,k0,1.656,"[-0.046, 3.359]",1.703,1.623,0.109
norefined,k1,0.235,"[-0.653, 1.123]",0.888,0.441,0.661
norefined,k2,-1.417,"[-3.312, 0.478]",1.895,-1.247,0.217
norefined,k3,-0.294,"[-1.441, 0.853]",1.147,-0.428,0.670
norefined,k4,-0.447,"[-1.45, 0.556]",1.003,-0.744,0.459
norefined,k5,0.126,"[-1.698, 1.95]",1.824,0.115,0.909
refined,tt,-0.798,"[-1.186, -0.41]",0.388,-3.431,0.001
refined,c,-4.286,"[-6.359, -2.212]",2.074,-3.447,0.001
refined,s,-3.351,"[-4.919, -1.782]",1.569,-3.562,0.001
refined,k0,1.112,"[0.394, 1.83]",0.718,2.583,0.012
refined,k1,-0.362,"[-0.857, 0.132]",0.495,-1.221,0.226
refined,k2,0.777,"[-0.011, 1.564]",0.787,1.646,0.105
refined,k3,0.492,"[-0.155, 1.138]",0.647,1.269,0.209
refined,k4,-0.332,"[-0.867, 0.203]",0.535,-1.034,0.305
refined,k5,0.691,"[-0.167, 1.55]",0.859,1.343,0.184
