stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,-1.539,-6.367,-2.803,-0.544,-0.791,-0.037,-0.301,0.034,1.433,304719810.244,1584,0,0,0.242
norefined,2,-1.066,-6.432,-2.904,-0.601,-0.804,-0.089,-0.337,-0.000,1.377,77146332.444,1584,0,0,0.166
norefined,3,-0.576,-6.482,-2.965,-0.594,-0.783,-0.095,-0.349,-0.020,1.323,174262679.435,1584,0,0,0.089
norefined,4,-1.067,-6.477,-2.873,-0.608,-0.791,-0.113,-0.357,-0.007,1.315,75583260.396,1584,0,0,0.165
norefined,5,-0.576,-6.522,-2.940,-0.597,-0.767,-0.114,-0.365,-0.023,1.272,170303882.062,1584,0,0,0.088
norefined,6,-1.068,-6.515,-2.850,-0.611,-0.776,-0.129,-0.372,-0.010,1.267,74596772.116,1584,0,0,0.164
norefined,7,-0.577,-6.556,-2.920,-0.598,-0.751,-0.127,-0.376,-0.024,1.232,167750068.592,1584,0,0,0.088
norefined,8,-1.068,-6.547,-2.833,-0.610,-0.759,-0.140,-0.382,-0.012,1.230,73938824.140,1584,0,0,0.163
norefined,9,-0.577,-6.586,-2.906,-0.596,-0.734,-0.137,-0.385,-0.025,1.200,166014870.312,1584,0,0,0.088
norefined,10,-1.069,-6.576,-2.820,-0.607,-0.742,-0.148,-0.391,-0.012,1.200,73479837.776,1584,0,0,0.163
refined,11,-1.069,-6.576,-2.820,-0.607,-0.742,-0.148,-0.391,-0.012,1.200,73479837.776,1584,0,0,0.163
refined,12,-0.553,-3.281,-1.947,-0.417,1.110,-0.237,-0.997,-0.507,0.290,68380878.914,1584,0,0,0.168
refined,13,-0.740,-4.509,-2.315,-0.368,0.796,-0.354,-0.912,-0.483,0.589,41442602.120,1584,0,0,0.164
refined,14,-0.740,-4.607,-2.256,-0.350,0.512,-0.296,-0.769,-0.382,0.627,40409572.624,1584,0,0,0.161
refined,15,-0.730,-4.577,-2.224,-0.356,0.472,-0.289,-0.748,-0.366,0.628,40391768.996,1584,0,0,0.159
refined,16,-0.730,-4.580,-2.222,-0.355,0.463,-0.288,-0.742,-0.363,0.627,40390984.612,1584,0,0,0.159
refined,17,-0.729,-4.579,-2.221,-0.355,0.461,-0.288,-0.740,-0.362,0.627,40390944.880,1584,0,0,0.159
refined,18,-0.729,-4.579,-2.221,-0.355,0.461,-0.288,-0.740,-0.362,0.626,40390942.827,1584,0,0,0.159
refined,19,-0.729,-4.579,-2.221,-0.355,0.460,-0.288,-0.740,-0.362,0.626,40390942.719,1584,0,0,0.159
refined,20,-0.729,-4.579,-2.221,-0.355,0.460,-0.288,-0.740,-0.362,0.626,40390942.714,1584,0,0,0.159
