stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.874,"[-1.334, -0.414]",0.460,-3.170,0.002
norefined,c,-5.422,"[-8.305, -2.539]",2.883,-3.137,0.003
norefined,s,-3.398,"[-5.103, -1.694]",1.705,-3.325,0.001
norefined,k0,0.395,"[-0.328, 1.117]",0.723,0.911,0.366
norefined,k1,-0.163,"[-1.156, 0.83]",0.993,-0.273,0.786
norefined,k2,-0.243,"[-0.924, 0.438]",0.681,-0.595,0.554
norefined,k3,1.081,"[0.079, 2.083]",1.002,1.799,0.077
norefined,k4,-0.248,"[-0.882, 0.385]",0.633,-0.654,0.515
norefined,k5,0.067,"[-0.67, 0.805]",0.737,0.153,0.879
refined,tt,-0.780,"[-1.158, -0.402]",0.378,-3.439,0.001
refined,c,-4.607,"[-6.929, -2.285]",2.322,-3.309,0.002
refined,s,-2.611,"[-3.829, -1.394]",1.218,-3.577,0.001
refined,k0,0.181,"[-0.355, 0.717]",0.536,0.564,0.575
refined,k1,-0.072,"[-0.859, 0.715]",0.787,-0.153,0.879
refined,k2,-0.190,"[-0.69, 0.309]",0.500,-0.636,0.527
refined,k3,0.999,"[0.217, 1.782]",0.782,2.130,0.037
refined,k4,0.077,"[-0.415, 0.569]",0.492,0.262,0.794
refined,k5,-0.437,"[-1.009, 0.136]",0.573,-1.271,0.208
