stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,0.249,-7.064,-4.175,-1.604,1.302,-1.212,0.222,0.560,-1.007,2534421735.195,-0.035
norefined,2,-0.240,-7.064,-4.196,-1.648,1.247,-1.236,0.171,0.513,-0.993,1352322429.852,0.034
norefined,3,-0.734,-7.045,-4.215,-1.641,1.240,-1.175,0.163,0.517,-0.955,576225245.700,0.104
norefined,4,-1.216,-7.028,-4.206,-1.620,1.163,-1.128,0.120,0.556,-0.882,417439523.219,0.173
norefined,5,-0.937,-7.209,-4.066,-1.503,0.987,-1.156,0.049,0.618,-0.626,336242907.933,0.130
norefined,6,-1.383,-7.214,-4.023,-1.434,0.932,-1.065,0.019,0.691,-0.463,346121684.906,0.192
norefined,7,-0.930,-7.320,-4.013,-1.330,0.832,-1.121,0.010,0.720,-0.373,285087020.763,0.127
norefined,8,-1.397,-7.289,-3.996,-1.288,0.831,-1.009,0.010,0.772,-0.255,305464690.801,0.192
norefined,9,-0.932,-7.384,-3.995,-1.189,0.743,-1.061,0.007,0.795,-0.185,248827133.678,0.126
norefined,10,-1.402,-7.342,-3.984,-1.158,0.758,-0.941,0.018,0.837,-0.084,273833651.425,0.191
refined,11,-0.932,-7.384,-3.995,-1.189,0.743,-1.061,0.007,0.795,-0.185,248827133.678,0.126
refined,12,-0.789,-4.575,-2.420,0.887,-0.492,0.398,-0.254,-1.156,0.406,141783568.059,0.172
refined,13,-0.713,-4.527,-2.215,0.098,0.181,-0.217,0.057,-0.203,0.219,103634511.933,0.158
refined,14,-0.818,-5.166,-2.582,0.235,0.089,-0.079,0.037,-0.468,0.265,100957566.202,0.158
refined,15,-0.834,-5.269,-2.637,0.211,0.086,-0.090,0.047,-0.438,0.259,100898232.732,0.158
refined,16,-0.840,-5.307,-2.657,0.211,0.085,-0.088,0.049,-0.442,0.258,100895458.617,0.158
refined,17,-0.841,-5.313,-2.660,0.210,0.085,-0.088,0.049,-0.441,0.258,100895317.458,0.158
refined,18,-0.841,-5.315,-2.661,0.210,0.085,-0.088,0.049,-0.441,0.258,100895310.408,0.158
refined,19,-0.841,-5.315,-2.661,0.210,0.085,-0.088,0.049,-0.441,0.258,100895310.055,0.158
refined,20,-0.841,-5.315,-2.661,0.210,0.085,-0.088,0.049,-0.441,0.258,100895310.037,0.158
