stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,-1.488,-6.988,-1.942,1.248,-0.851,-0.463,0.719,0.833,-0.832,378052212.266,0.213
norefined,2,-1.047,-7.018,-2.163,1.206,-0.849,-0.499,0.681,0.841,-0.800,143310313.262,0.149
norefined,3,-0.632,-7.004,-2.430,1.150,-0.837,-0.496,0.662,0.796,-0.762,185121487.106,0.090
norefined,4,-1.126,-6.948,-2.448,1.141,-0.814,-0.472,0.658,0.790,-0.797,123086681.284,0.162
norefined,5,-0.673,-6.954,-2.648,1.099,-0.811,-0.487,0.642,0.756,-0.764,156696874.736,0.097
norefined,6,-1.168,-6.900,-2.654,1.089,-0.790,-0.463,0.641,0.752,-0.799,110203571.521,0.169
norefined,7,-0.702,-6.914,-2.824,1.053,-0.790,-0.485,0.626,0.722,-0.766,137756129.089,0.102
norefined,8,-1.197,-6.861,-2.821,1.042,-0.771,-0.461,0.627,0.720,-0.801,101238417.869,0.174
norefined,9,-0.725,-6.880,-2.973,1.010,-0.773,-0.486,0.614,0.693,-0.766,124065556.551,0.105
norefined,10,-1.220,-6.829,-2.963,0.998,-0.755,-0.461,0.616,0.692,-0.800,94717690.605,0.179
refined,11,-1.220,-6.829,-2.963,0.998,-0.755,-0.461,0.616,0.692,-0.800,94717690.605,0.179
refined,12,-0.166,-0.422,-0.756,-2.202,1.257,-0.873,0.286,-0.275,0.980,877374863.241,0.395
refined,13,-0.267,-1.411,-0.814,0.114,-0.205,-0.141,0.235,0.291,-0.054,80590693.239,0.189
refined,14,-0.385,-2.085,-1.244,-0.091,-0.133,-0.210,0.380,0.377,-0.072,42815009.050,0.185
refined,15,-0.538,-2.982,-1.718,-0.286,0.022,-0.311,0.369,0.388,-0.014,33189327.533,0.180
refined,16,-0.764,-4.325,-2.348,-0.596,0.314,-0.522,0.268,0.236,0.095,29211916.131,0.177
refined,17,-0.856,-4.714,-2.518,-0.895,0.516,-0.840,0.160,0.060,0.168,28176464.574,0.181
refined,18,-0.876,-4.788,-2.545,-0.970,0.547,-0.924,0.135,-0.002,0.190,28112318.853,0.183
refined,19,-0.879,-4.803,-2.551,-0.976,0.547,-0.932,0.130,-0.011,0.193,28110777.947,0.183
refined,20,-0.879,-4.804,-2.552,-0.977,0.548,-0.934,0.130,-0.013,0.193,28110739.641,0.183
