stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,-1.998,-5.470,-3.109,1.795,-0.114,1.508,0.305,-0.380,-0.760,1162581544.765,1584,0,0,0.365
norefined,2,-1.619,-5.582,-3.220,1.650,-0.217,1.450,0.168,-0.427,-0.919,898274227.837,1584,0,0,0.290
norefined,3,-1.226,-5.704,-3.222,1.469,-0.314,1.422,0.060,-0.413,-1.080,698891070.848,1584,0,0,0.215
norefined,4,-0.819,-5.804,-3.203,1.269,-0.402,1.383,0.012,-0.336,-1.207,707713316.534,1584,0,0,0.141
norefined,5,-1.306,-5.779,-3.161,1.223,-0.414,1.332,0.057,-0.285,-1.182,657441698.734,1584,0,0,0.226
norefined,6,-0.882,-5.878,-3.128,1.050,-0.486,1.319,-0.003,-0.203,-1.299,636902856.206,1584,0,0,0.150
norefined,7,-1.366,-5.847,-3.090,1.002,-0.482,1.272,0.047,-0.131,-1.264,621106944.294,1584,0,0,0.234
norefined,8,-0.929,-5.943,-3.058,0.854,-0.540,1.271,-0.020,-0.051,-1.375,589303192.588,1584,0,0,0.156
norefined,9,-1.410,-5.905,-3.026,0.807,-0.520,1.229,0.029,0.034,-1.332,590817188.840,1584,0,0,0.239
norefined,10,-0.961,-5.999,-3.001,0.683,-0.568,1.235,-0.039,0.110,-1.438,556010961.691,1584,0,0,0.160
refined,11,-0.961,-5.999,-3.001,0.683,-0.568,1.235,-0.039,0.110,-1.438,556010961.691,1584,0,0,0.160
refined,12,-0.807,-2.406,-1.314,-0.366,-0.220,0.225,-0.230,1.651,-1.880,571227125.556,1584,0,0,0.335
refined,13,-1.059,-4.176,-2.122,-0.215,-0.454,0.473,-0.307,1.781,-2.066,443734087.138,1584,0,0,0.254
refined,14,-1.284,-5.715,-2.896,-0.377,-0.340,0.679,-0.502,1.765,-1.891,419127700.906,1584,0,0,0.225
refined,15,-1.476,-6.881,-3.576,-0.472,-0.234,0.808,-0.648,1.852,-1.801,414992202.242,1584,0,0,0.215
refined,16,-1.605,-7.592,-4.000,-0.528,-0.179,0.863,-0.710,1.944,-1.819,414255166.139,1584,0,0,0.211
refined,17,-1.682,-7.991,-4.235,-0.562,-0.152,0.898,-0.743,2.008,-1.857,414095432.010,1584,0,0,0.211
refined,18,-1.724,-8.201,-4.356,-0.579,-0.137,0.918,-0.755,2.040,-1.883,414054969.621,1584,0,0,0.210
refined,19,-1.746,-8.314,-4.422,-0.588,-0.129,0.930,-0.762,2.058,-1.900,414043776.760,1584,0,0,0.210
refined,20,-1.758,-8.375,-4.457,-0.593,-0.125,0.936,-0.765,2.067,-1.909,414040542.965,1584,0,0,0.210
