stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,33.109,2.023,0.000,76,0,9,2367386041.855,434582216.986
refined,87.735,2.023,0.000,76,0,9,2367386041.855,185163939.959
