stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,30.846,2.023,0.000,76,0,9,1926037846.015,374465330.556
refined,56.627,2.023,0.000,76,0,9,1926037846.015,223785724.886
