attr,theta,width_confint,width_CI,t-test,pvalue,time,method,rep,objective,nrmse,theta_true,bias,fn,fp,f_type
tt,-0.826,"[-1.181, -0.47]",0.356,-3.867,0.000,4.248,ngd,81,270966010.079,0.164,-1.000,0.174,0,0,fn
c,-6.860,"[-9.944, -3.777]",3.083,-3.707,0.000,4.248,ngd,81,270966010.079,0.164,-6.000,-0.860,0,0,fn
s,-3.530,"[-5.236, -1.824]",1.706,-3.448,0.001,4.248,ngd,81,270966010.079,0.164,-3.000,-0.530,0,0,fn
vot,0.120,,,,,4.248,ngd,81,270966010.079,0.164,0.167,-0.046,0,0,fn
tt,-0.843,"[-1.133, -0.552]",0.291,-4.829,0.000,4.457,lm,81,224276998.900,0.149,-1.000,0.157,0,0,fn
c,-5.353,"[-7.245, -3.462]",1.892,-4.715,0.000,4.457,lm,81,224276998.900,0.149,-6.000,0.647,0,0,fn
s,-2.589,"[-3.508, -1.67]",0.919,-4.693,0.000,4.457,lm,81,224276998.900,0.149,-3.000,0.411,0,0,fn
vot,0.157,,,,,4.457,lm,81,224276998.900,0.149,0.167,-0.009,0,0,fn
tt,-0.843,"[-1.133, -0.552]",0.291,-4.829,0.000,8.767,ngd+lm,81,224276998.900,0.149,-1.000,0.157,0,0,fn
c,-5.353,"[-7.245, -3.462]",1.892,-4.715,0.000,8.767,ngd+lm,81,224276998.900,0.149,-6.000,0.647,0,0,fn
s,-2.589,"[-3.508, -1.67]",0.919,-4.693,0.000,8.767,ngd+lm,81,224276998.900,0.149,-3.000,0.411,0,0,fn
vot,0.157,,,,,8.767,ngd+lm,81,224276998.900,0.149,0.167,-0.009,0,0,fn
