stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,22.474,1.727,0.000,0,9,2588992929.065,644208033.987,76
refined,37.872,1.727,0.000,0,9,2588992929.065,425312411.216,76
