stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.403,"[-3.343, 0.537]",1.940,-1.206,0.232
norefined,c,-7.796,"[-17.883, 2.291]",10.087,-1.289,0.202
norefined,s,-2.864,"[-7.172, 1.445]",4.309,-1.109,0.272
norefined,k0,0.244,"[-1.948, 2.436]",2.192,0.186,0.853
norefined,k1,-1.446,"[-3.642, 0.75]",2.196,-1.098,0.276
norefined,k2,-0.205,"[-1.967, 1.556]",1.761,-0.194,0.846
norefined,k3,0.001,"[-1.53, 1.532]",1.531,0.001,0.999
norefined,k4,1.851,"[-1.127, 4.829]",2.978,1.037,0.304
norefined,k5,0.398,"[-1.022, 1.818]",1.420,0.468,0.642
refined,tt,-3.375,"[-13.635, 6.885]",10.260,-0.549,0.585
refined,c,-16.643,"[-63.735, 30.448]",47.092,-0.589,0.558
refined,s,-9.739,"[-42.59, 23.112]",32.851,-0.494,0.623
refined,k0,1.826,"[-4.547, 8.199]",6.373,0.478,0.634
refined,k1,3.073,"[-13.204, 19.35]",16.277,0.315,0.754
refined,k2,2.837,"[-9.226, 14.9]",12.063,0.392,0.696
refined,k3,-1.241,"[-7.277, 4.795]",6.036,-0.343,0.733
refined,k4,2.564,"[-1.033, 6.16]",3.596,1.189,0.239
refined,k5,-2.941,"[-12.066, 6.185]",9.126,-0.537,0.593
