stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,25.547,1.727,0.000,76,0,9,3023313705.893,682194317.456
refined,38.740,1.727,0.000,76,0,9,3023313705.893,487321891.427
