stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.647,"[-1.905, 0.612]",1.259,-0.931,0.374
norefined,c,-4.780,"[-13.183, 3.622]",8.402,-1.031,0.327
norefined,s,-2.369,"[-6.272, 1.533]",3.902,-1.100,0.297
norefined,k0,-1.147,"[-4.001, 1.707]",2.854,-0.728,0.483
norefined,k1,0.502,"[-2.376, 3.38]",2.878,0.316,0.758
norefined,k2,-0.748,"[-2.332, 0.836]",1.584,-0.856,0.412
norefined,k3,0.287,"[-4.435, 5.009]",4.722,0.110,0.914
norefined,k4,0.945,"[-1.124, 3.014]",2.069,0.828,0.427
norefined,k5,0.636,"[-2.046, 3.318]",2.682,0.430,0.676
refined,tt,-0.559,"[-0.727, -0.392]",0.168,-6.044,0.000
refined,c,-3.382,"[-4.388, -2.375]",1.007,-6.087,0.000
refined,s,-1.283,"[-1.761, -0.805]",0.478,-4.861,0.001
refined,k0,0.067,"[-0.298, 0.432]",0.365,0.334,0.745
refined,k1,0.872,"[0.371, 1.373]",0.501,3.156,0.010
refined,k2,-0.132,"[-0.431, 0.168]",0.300,-0.796,0.444
refined,k3,-1.018,"[-1.783, -0.253]",0.765,-2.411,0.037
refined,k4,0.761,"[0.275, 1.247]",0.486,2.836,0.018
refined,k5,0.009,"[-0.472, 0.49]",0.481,0.033,0.974
