stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,67.341,1.727,0.000,0,9,3224179965.251,320947133.922,76
refined,125.009,1.727,0.000,0,9,3224179965.251,181212828.528,76
