stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,9.819,2.023,0.000,76,0,9,2639716107.065,1138300612.243
refined,21.440,2.023,0.000,76,0,9,2639716107.065,680339717.433
