stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,-0.122,-6.744,-1.242,1.846,0.891,1.949,1.363,-0.019,1.436,7536537377.933,0.018
norefined,2,-0.606,-6.772,-1.246,1.807,0.849,1.871,1.339,-0.069,1.387,5205741597.651,0.090
norefined,3,-1.068,-6.798,-1.269,1.738,0.779,1.759,1.273,-0.114,1.304,3223984650.469,0.157
norefined,4,-1.433,-6.846,-1.363,1.601,0.673,1.599,1.120,-0.218,1.175,2225122465.381,0.209
norefined,5,-1.506,-6.943,-1.530,1.408,0.561,1.391,0.878,-0.390,1.015,1593747115.526,0.217
norefined,6,-1.491,-7.029,-1.699,1.201,0.452,1.179,0.611,-0.536,0.868,1141509084.465,0.212
norefined,7,-1.468,-7.084,-1.881,1.005,0.361,0.972,0.318,-0.659,0.717,836289731.354,0.207
norefined,8,-1.133,-7.146,-2.083,0.865,0.339,0.846,0.106,-0.715,0.624,787626707.006,0.159
norefined,9,-1.571,-7.078,-2.162,0.762,0.284,0.720,0.003,-0.751,0.547,780151990.541,0.222
norefined,10,-1.088,-7.148,-2.254,0.761,0.324,0.719,-0.031,-0.733,0.548,717984794.613,0.152
refined,11,-1.088,-7.148,-2.254,0.761,0.324,0.719,-0.031,-0.733,0.548,717984794.613,0.152
refined,12,-0.698,-4.463,-3.191,-1.204,-0.181,-1.137,1.677,0.097,-0.100,558445934.238,0.156
refined,13,-1.208,-7.761,-4.384,-0.925,0.321,-0.399,0.838,0.183,0.348,297936638.550,0.156
refined,14,-1.213,-7.722,-4.453,-0.663,-0.040,-0.548,1.037,0.260,0.353,285903244.673,0.157
refined,15,-1.250,-7.944,-4.596,-0.643,-0.084,-0.626,1.063,0.292,0.480,285430316.901,0.157
refined,16,-1.260,-8.002,-4.644,-0.618,-0.118,-0.649,1.064,0.313,0.513,285371030.532,0.158
refined,17,-1.268,-8.047,-4.674,-0.613,-0.127,-0.660,1.068,0.321,0.529,285361799.894,0.158
refined,18,-1.270,-8.059,-4.683,-0.610,-0.132,-0.663,1.069,0.324,0.535,285360261.197,0.158
refined,19,-1.272,-8.067,-4.689,-0.609,-0.134,-0.665,1.070,0.326,0.538,285359999.673,0.158
refined,20,-1.272,-8.069,-4.690,-0.608,-0.135,-0.666,1.070,0.326,0.539,285359954.838,0.158
