stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,0.692,-4.089,-1.198,1.599,-0.329,-0.505,-0.799,-0.563,1.911,5911107853.946,-0.169
norefined,2,0.208,-4.132,-1.265,1.558,-0.378,-0.555,-0.843,-0.595,1.902,2612906063.022,-0.050
norefined,3,-0.274,-4.135,-1.372,1.527,-0.406,-0.576,-0.867,-0.588,1.849,1276400797.193,0.066
norefined,4,-0.675,-4.094,-1.605,1.452,-0.384,-0.620,-0.855,-0.506,1.713,868013483.775,0.165
norefined,5,-0.575,-4.091,-1.972,1.319,-0.325,-0.663,-0.846,-0.335,1.483,647019043.503,0.141
norefined,6,-0.687,-4.027,-2.292,1.212,-0.262,-0.664,-0.769,-0.148,1.210,478134977.474,0.170
norefined,7,-0.373,-4.026,-2.527,1.105,-0.192,-0.640,-0.714,-0.000,0.975,443419355.042,0.093
norefined,8,-0.855,-4.014,-2.513,1.106,-0.165,-0.588,-0.651,0.068,0.899,420318879.325,0.213
norefined,9,-0.401,-4.054,-2.647,1.044,-0.131,-0.575,-0.641,0.127,0.775,392343959.677,0.099
norefined,10,-0.887,-4.055,-2.582,1.054,-0.105,-0.527,-0.587,0.176,0.738,387940624.867,0.219
refined,11,-0.887,-4.055,-2.582,1.054,-0.105,-0.527,-0.587,0.176,0.738,387940624.867,0.219
refined,12,-0.130,-2.435,-0.914,0.214,0.491,0.154,0.528,0.030,-0.626,592070703.233,0.053
refined,13,-0.246,-1.864,-1.094,0.434,0.250,0.034,0.071,0.112,-0.069,185352838.130,0.132
refined,14,-0.271,-2.018,-1.133,0.417,0.260,0.024,0.103,0.105,-0.083,180626986.660,0.134
refined,15,-0.280,-2.079,-1.162,0.427,0.269,0.018,0.107,0.103,-0.085,180332461.570,0.135
refined,16,-0.283,-2.100,-1.172,0.430,0.273,0.015,0.109,0.102,-0.087,180302426.161,0.135
refined,17,-0.284,-2.108,-1.176,0.432,0.274,0.015,0.110,0.102,-0.087,180299247.508,0.135
refined,18,-0.285,-2.110,-1.177,0.432,0.274,0.014,0.110,0.102,-0.087,180298910.688,0.135
refined,19,-0.285,-2.111,-1.178,0.432,0.274,0.014,0.110,0.102,-0.087,180298875.001,0.135
refined,20,-0.285,-2.111,-1.178,0.432,0.274,0.014,0.110,0.102,-0.087,180298871.220,0.135
