stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.698,"[-1.107, -0.288]",0.410,-3.400,0.001
norefined,c,-4.284,"[-6.648, -1.919]",2.365,-3.616,0.001
norefined,s,-2.631,"[-4.024, -1.238]",1.393,-3.771,0.000
norefined,k0,0.541,"[-0.236, 1.318]",0.777,1.390,0.169
norefined,k1,-0.520,"[-1.266, 0.226]",0.746,-1.392,0.169
norefined,k2,-0.172,"[-0.652, 0.308]",0.480,-0.715,0.477
norefined,k3,-0.787,"[-1.582, 0.008]",0.795,-1.976,0.052
norefined,k4,-0.169,"[-0.701, 0.363]",0.532,-0.634,0.528
norefined,k5,0.359,"[-0.125, 0.843]",0.484,1.481,0.143
refined,tt,-1.203,"[-1.834, -0.572]",0.631,-3.805,0.000
refined,c,-6.485,"[-9.831, -3.14]",3.346,-3.869,0.000
refined,s,-3.142,"[-4.72, -1.563]",1.578,-3.973,0.000
refined,k0,-0.403,"[-1.18, 0.375]",0.778,-1.033,0.305
refined,k1,-0.825,"[-1.659, 0.01]",0.835,-1.972,0.053
refined,k2,0.315,"[-0.134, 0.763]",0.449,1.400,0.166
refined,k3,-0.288,"[-0.868, 0.292]",0.580,-0.990,0.326
refined,k4,-0.060,"[-0.581, 0.461]",0.521,-0.231,0.818
refined,k5,0.146,"[-0.251, 0.544]",0.398,0.735,0.465
