stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.301,"[-2.222, -0.381]",0.920,-2.359,0.021
norefined,c,-6.943,"[-11.882, -2.005]",4.939,-2.345,0.022
norefined,s,-3.517,"[-6.055, -0.979]",2.538,-2.311,0.024
norefined,k0,1.468,"[-0.151, 3.087]",1.619,1.513,0.135
norefined,k1,1.122,"[-0.768, 3.011]",1.890,0.990,0.326
norefined,k2,0.140,"[-0.537, 0.816]",0.676,0.345,0.731
norefined,k3,0.528,"[-0.512, 1.568]",1.040,0.847,0.400
norefined,k4,1.699,"[-0.153, 3.552]",1.853,1.530,0.131
norefined,k5,-1.481,"[-3.468, 0.507]",1.987,-1.243,0.218
refined,tt,-1.616,"[-2.989, -0.243]",1.373,-1.963,0.054
refined,c,-9.889,"[-18.378, -1.401]",8.489,-1.943,0.056
refined,s,-4.300,"[-8.073, -0.527]",3.773,-1.901,0.062
refined,k0,0.399,"[-0.89, 1.689]",1.290,0.516,0.607
refined,k1,0.314,"[-1.8, 2.428]",2.114,0.248,0.805
refined,k2,0.265,"[-0.495, 1.026]",0.760,0.582,0.563
refined,k3,0.217,"[-1.299, 1.733]",1.516,0.239,0.812
refined,k4,-0.251,"[-2.561, 2.059]",2.310,-0.181,0.857
refined,k5,0.495,"[-1.551, 2.541]",2.046,0.404,0.688
