stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,-0.846,-6.673,-2.841,0.661,-0.497,-1.922,1.712,-1.241,0.327,662927551.907,0.127
norefined,2,-0.813,-6.704,-3.076,0.555,-0.444,-1.680,1.423,-1.129,0.482,473803315.278,0.121
norefined,3,-0.935,-6.728,-3.251,0.468,-0.366,-1.410,1.149,-1.013,0.653,316363250.261,0.139
norefined,4,-0.951,-6.757,-3.426,0.381,-0.289,-1.105,0.882,-0.887,0.808,210424730.976,0.141
norefined,5,-1.065,-6.775,-3.563,0.307,-0.153,-0.754,0.641,-0.802,0.887,151222555.391,0.157
norefined,6,-0.756,-6.798,-3.737,0.236,-0.052,-0.478,0.490,-0.706,0.863,186133351.280,0.111
norefined,7,-1.233,-6.793,-3.629,0.258,0.011,-0.427,0.478,-0.767,0.864,149872207.511,0.181
norefined,8,-0.772,-6.820,-3.773,0.202,-0.007,-0.369,0.434,-0.685,0.831,177545634.738,0.113
norefined,9,-1.248,-6.815,-3.658,0.228,0.053,-0.329,0.429,-0.752,0.835,145925260.642,0.183
norefined,10,-0.783,-6.842,-3.795,0.176,0.027,-0.287,0.396,-0.672,0.799,172795573.569,0.114
refined,11,-1.248,-6.815,-3.658,0.228,0.053,-0.329,0.429,-0.752,0.835,145925260.642,0.183
refined,12,-0.714,-5.540,-2.920,0.156,0.424,0.214,0.231,-0.661,0.207,104629519.083,0.129
refined,13,-0.721,-5.106,-2.656,0.121,0.363,0.224,0.096,-0.607,0.334,96557554.102,0.141
refined,14,-0.737,-5.212,-2.718,0.106,0.377,0.221,0.111,-0.608,0.325,96468870.976,0.141
refined,15,-0.739,-5.222,-2.725,0.104,0.377,0.218,0.114,-0.609,0.328,96466884.508,0.142
refined,16,-0.740,-5.227,-2.728,0.105,0.377,0.217,0.114,-0.610,0.328,96466753.843,0.142
refined,17,-0.740,-5.229,-2.728,0.105,0.377,0.217,0.115,-0.610,0.328,96466743.636,0.142
refined,18,-0.740,-5.229,-2.729,0.105,0.377,0.217,0.115,-0.610,0.328,96466742.800,0.142
refined,19,-0.740,-5.229,-2.729,0.105,0.377,0.217,0.115,-0.610,0.328,96466742.731,0.142
refined,20,-0.740,-5.229,-2.729,0.105,0.377,0.217,0.115,-0.610,0.328,96466742.725,0.142
