stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.064,"[-2.001, -0.128]",0.937,-1.931,0.063
norefined,c,-5.724,"[-10.119, -1.329]",4.395,-2.213,0.035
norefined,s,-2.049,"[-4.007, -0.091]",1.958,-1.778,0.086
norefined,k0,-0.946,"[-2.337, 0.445]",1.391,-1.156,0.257
norefined,k1,-0.612,"[-3.074, 1.85]",2.462,-0.422,0.676
norefined,k2,-0.219,"[-2.12, 1.682]",1.901,-0.196,0.846
norefined,k3,1.033,"[-0.412, 2.479]",1.446,1.215,0.234
norefined,k4,-0.615,"[-1.742, 0.511]",1.126,-0.928,0.361
norefined,k5,0.077,"[-1.323, 1.476]",1.399,0.093,0.927
refined,tt,-1.054,"[-1.372, -0.737]",0.317,-5.647,0.000
refined,c,-6.080,"[-7.852, -4.308]",1.772,-5.829,0.000
refined,s,-2.844,"[-3.719, -1.97]",0.874,-5.528,0.000
refined,k0,-0.034,"[-0.562, 0.494]",0.528,-0.109,0.914
refined,k1,0.828,"[0.021, 1.636]",0.807,1.743,0.092
refined,k2,0.261,"[-0.491, 1.012]",0.752,0.589,0.560
refined,k3,0.057,"[-0.364, 0.478]",0.421,0.231,0.819
refined,k4,0.312,"[-0.103, 0.726]",0.415,1.277,0.212
refined,k5,-0.440,"[-0.903, 0.024]",0.464,-1.611,0.118
