stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.496,"[-0.86, -0.131]",0.365,-2.281,0.027
norefined,c,-4.285,"[-6.998, -1.572]",2.713,-2.649,0.011
norefined,s,-1.796,"[-3.055, -0.537]",1.259,-2.393,0.021
norefined,k0,-0.116,"[-1.214, 0.982]",1.098,-0.177,0.860
norefined,k1,-1.408,"[-2.505, -0.312]",1.096,-2.155,0.036
norefined,k2,0.832,"[-0.319, 1.982]",1.151,1.212,0.231
norefined,k3,0.219,"[-0.62, 1.057]",0.839,0.437,0.664
norefined,k4,-0.944,"[-2.034, 0.147]",1.090,-1.452,0.153
norefined,k5,-0.843,"[-1.854, 0.168]",1.011,-1.398,0.169
refined,tt,-0.832,"[-1.093, -0.571]",0.261,-5.348,0.000
refined,c,-4.943,"[-6.424, -3.462]",1.481,-5.598,0.000
refined,s,-2.638,"[-3.401, -1.875]",0.763,-5.800,0.000
refined,k0,0.134,"[-0.39, 0.657]",0.523,0.429,0.670
refined,k1,-0.427,"[-0.873, 0.019]",0.446,-1.605,0.115
refined,k2,-0.023,"[-0.492, 0.447]",0.470,-0.081,0.936
refined,k3,0.010,"[-0.44, 0.459]",0.450,0.036,0.972
refined,k4,0.114,"[-0.323, 0.552]",0.438,0.438,0.663
refined,k5,-0.363,"[-0.831, 0.104]",0.467,-1.305,0.198
