stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.377,"[-2.406, -0.349]",1.029,-2.234,0.029
norefined,c,-7.014,"[-11.902, -2.125]",4.888,-2.393,0.020
norefined,s,-3.427,"[-5.875, -0.98]",2.448,-2.335,0.023
norefined,k0,0.669,"[-1.007, 2.345]",1.676,0.666,0.508
norefined,k1,-0.704,"[-2.445, 1.036]",1.741,-0.675,0.502
norefined,k2,-1.080,"[-2.226, 0.066]",1.146,-1.571,0.121
norefined,k3,-0.189,"[-1.26, 0.882]",1.071,-0.295,0.769
norefined,k4,0.065,"[-1.367, 1.498]",1.433,0.076,0.939
norefined,k5,0.304,"[-0.832, 1.44]",1.136,0.446,0.657
refined,tt,-0.841,"[-1.311, -0.372]",0.470,-2.988,0.004
refined,c,-5.060,"[-7.499, -2.62]",2.439,-3.460,0.001
refined,s,-2.565,"[-3.858, -1.272]",1.293,-3.309,0.002
refined,k0,0.801,"[-0.356, 1.957]",1.157,1.155,0.252
refined,k1,-0.232,"[-1.221, 0.757]",0.989,-0.392,0.697
refined,k2,-0.052,"[-0.694, 0.589]",0.641,-0.136,0.892
refined,k3,0.021,"[-0.607, 0.649]",0.628,0.056,0.956
refined,k4,0.190,"[-0.543, 0.923]",0.733,0.432,0.667
refined,k5,0.163,"[-0.618, 0.944]",0.781,0.348,0.729
