stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.398,"[-2.317, -0.478]",0.919,-2.536,0.014
norefined,c,-6.916,"[-11.146, -2.685]",4.230,-2.727,0.008
norefined,s,-3.663,"[-5.993, -1.333]",2.330,-2.622,0.011
norefined,k0,0.380,"[-1.113, 1.874]",1.494,0.425,0.672
norefined,k1,-0.483,"[-2.021, 1.056]",1.539,-0.523,0.603
norefined,k2,-1.030,"[-2.044, -0.017]",1.014,-1.695,0.095
norefined,k3,-0.064,"[-0.999, 0.871]",0.935,-0.114,0.909
norefined,k4,0.072,"[-1.269, 1.413]",1.341,0.090,0.929
norefined,k5,0.762,"[-0.301, 1.825]",1.063,1.196,0.236
refined,tt,-1.556,"[-2.545, -0.566]",0.990,-2.622,0.011
refined,c,-8.194,"[-13.134, -3.253]",4.940,-2.766,0.007
refined,s,-4.991,"[-7.963, -2.019]",2.972,-2.801,0.007
refined,k0,-0.507,"[-2.355, 1.341]",1.848,-0.458,0.649
refined,k1,-0.635,"[-2.4, 1.129]",1.764,-0.601,0.550
refined,k2,-0.333,"[-1.163, 0.498]",0.831,-0.668,0.506
refined,k3,0.665,"[-0.149, 1.48]",0.815,1.362,0.178
refined,k4,1.312,"[-0.308, 2.932]",1.620,1.351,0.181
refined,k5,0.965,"[-0.2, 2.13]",1.165,1.381,0.172
