stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,66.358,2.023,0.000,0,9,3548708333.999,357959369.082,76
refined,117.561,2.023,0.000,0,9,3548708333.999,211336061.382,76
