stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,49.163,1.727,0.000,76,0,9,2865549012.001,376848452.052
refined,49.163,1.727,0.000,76,0,9,2865549012.001,376848452.052
