stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.299,"[-2.104, -0.494]",0.805,-2.692,0.009
norefined,c,-7.313,"[-12.108, -2.518]",4.795,-2.544,0.013
norefined,s,-3.739,"[-6.166, -1.313]",2.426,-2.570,0.012
norefined,k0,-1.520,"[-2.893, -0.146]",1.373,-1.845,0.069
norefined,k1,0.704,"[-0.289, 1.696]",0.993,1.182,0.241
norefined,k2,-1.961,"[-3.238, -0.684]",1.277,-2.562,0.013
norefined,k3,0.638,"[-0.019, 1.294]",0.657,1.620,0.110
norefined,k4,-0.402,"[-1.489, 0.685]",1.087,-0.617,0.539
norefined,k5,0.944,"[0.02, 1.869]",0.924,1.704,0.093
refined,tt,-0.845,"[-1.225, -0.464]",0.380,-3.703,0.000
refined,c,-4.388,"[-6.495, -2.281]",2.107,-3.473,0.001
refined,s,-2.061,"[-3.032, -1.09]",0.971,-3.539,0.001
refined,k0,-1.041,"[-1.791, -0.29]",0.750,-2.313,0.024
refined,k1,0.267,"[-0.239, 0.774]",0.506,0.882,0.381
refined,k2,-0.387,"[-0.98, 0.205]",0.593,-1.090,0.279
refined,k3,0.109,"[-0.285, 0.502]",0.393,0.461,0.647
refined,k4,0.573,"[-0.051, 1.196]",0.624,1.533,0.130
refined,k5,0.347,"[-0.12, 0.813]",0.467,1.239,0.220
