attr,theta,width_confint,width_CI,t-test,pvalue,time,method,rep,objective,nrmse,theta_true,bias,fn,fp,f_type
tt,-0.917,"[-1.17, -0.663]",0.254,-6.019,0.000,4.817,ngd,30,205664139.995,0.147,-1.000,0.083,0,0,fn
c,-4.504,"[-5.693, -3.315]",1.189,-6.309,0.000,4.817,ngd,30,205664139.995,0.147,-6.000,1.496,0,0,fn
s,-2.048,"[-2.677, -1.419]",0.629,-5.423,0.000,4.817,ngd,30,205664139.995,0.147,-3.000,0.952,0,0,fn
vot,0.203,,,,,4.817,ngd,30,205664139.995,0.147,0.167,0.037,0,0,fn
tt,-0.795,"[-0.983, -0.608]",0.188,-7.058,0.000,5.329,lm,30,123849076.772,0.114,-1.000,0.205,0,0,fn
c,-5.218,"[-6.307, -4.129]",1.089,-7.983,0.000,5.329,lm,30,123849076.772,0.114,-6.000,0.782,0,0,fn
s,-2.388,"[-2.968, -1.807]",0.580,-6.854,0.000,5.329,lm,30,123849076.772,0.114,-3.000,0.612,0,0,fn
vot,0.152,,,,,5.329,lm,30,123849076.772,0.114,0.167,-0.014,0,0,fn
tt,-0.795,"[-0.983, -0.608]",0.188,-7.058,0.000,10.166,ngd+lm,30,123849076.772,0.114,-1.000,0.205,0,0,fn
c,-5.218,"[-6.307, -4.129]",1.089,-7.983,0.000,10.166,ngd+lm,30,123849076.772,0.114,-6.000,0.782,0,0,fn
s,-2.388,"[-2.968, -1.807]",0.580,-6.854,0.000,10.166,ngd+lm,30,123849076.772,0.114,-3.000,0.612,0,0,fn
vot,0.152,,,,,10.166,ngd+lm,30,123849076.772,0.114,0.167,-0.014,0,0,fn
