stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.901,"[-1.768, -0.035]",0.867,-1.735,0.087
norefined,c,-7.161,"[-12.936, -1.385]",5.775,-2.068,0.043
norefined,s,-2.874,"[-5.587, -0.162]",2.712,-1.768,0.082
norefined,k0,-1.081,"[-2.703, 0.541]",1.622,-1.112,0.270
norefined,k1,0.040,"[-1.577, 1.656]",1.617,0.041,0.968
norefined,k2,0.384,"[-0.923, 1.69]",1.306,0.490,0.626
norefined,k3,-0.003,"[-1.899, 1.894]",1.896,-0.002,0.998
norefined,k4,0.297,"[-0.951, 1.544]",1.248,0.397,0.693
norefined,k5,-0.503,"[-2.302, 1.296]",1.799,-0.467,0.642
refined,tt,-7.729,"[-20.804, 5.346]",13.075,-0.986,0.328
refined,c,-34.533,"[-89.194, 20.127]",54.660,-1.054,0.296
refined,s,-20.521,"[-52.627, 11.584]",32.106,-1.066,0.290
refined,k0,-0.880,"[-4.72, 2.961]",3.840,-0.382,0.704
refined,k1,-4.711,"[-15.185, 5.763]",10.474,-0.750,0.456
refined,k2,2.988,"[-4.117, 10.094]",7.105,0.702,0.485
refined,k3,2.998,"[-4.011, 10.006]",7.009,0.713,0.478
refined,k4,1.776,"[-2.222, 5.773]",3.997,0.741,0.461
refined,k5,-7.757,"[-23.965, 8.451]",16.208,-0.798,0.428
