stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,9.056,2.023,0.000,76,0,9,2286041308.344,1031377712.387
refined,31.671,2.023,0.000,76,0,9,2286041308.344,435073525.059
