stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.076,"[-1.66, -0.492]",0.584,-3.074,0.003
norefined,c,-6.564,"[-10.412, -2.716]",3.848,-2.845,0.006
norefined,s,-2.869,"[-4.565, -1.172]",1.696,-2.821,0.006
norefined,k0,-0.045,"[-0.927, 0.836]",0.881,-0.086,0.932
norefined,k1,0.510,"[-0.514, 1.535]",1.025,0.831,0.409
norefined,k2,0.302,"[-0.678, 1.283]",0.981,0.514,0.609
norefined,k3,-0.657,"[-2.154, 0.841]",1.497,-0.731,0.467
norefined,k4,0.044,"[-0.774, 0.863]",0.818,0.091,0.928
norefined,k5,-0.291,"[-1.429, 0.848]",1.139,-0.425,0.672
refined,tt,-2.084,"[-4.174, 0.005]",2.089,-1.664,0.101
refined,c,-18.777,"[-37.907, 0.353]",19.130,-1.637,0.106
refined,s,-7.038,"[-14.261, 0.184]",7.223,-1.625,0.109
refined,k0,-2.316,"[-5.103, 0.472]",2.788,-1.386,0.170
refined,k1,2.614,"[-0.96, 6.187]",3.574,1.220,0.227
refined,k2,5.573,"[0.037, 11.109]",5.536,1.679,0.098
refined,k3,-3.980,"[-8.118, 0.158]",4.138,-1.604,0.113
refined,k4,-0.853,"[-2.545, 0.839]",1.692,-0.841,0.404
refined,k5,-1.716,"[-4.872, 1.441]",3.157,-0.906,0.368
