stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.348,"[-2.737, 0.041]",1.389,-1.618,0.110
norefined,c,-5.557,"[-11.722, 0.608]",6.165,-1.503,0.137
norefined,s,-3.799,"[-7.806, 0.209]",4.007,-1.581,0.119
norefined,k0,0.562,"[-0.803, 1.927]",1.365,0.687,0.495
norefined,k1,-0.847,"[-2.225, 0.53]",1.377,-1.026,0.308
norefined,k2,0.197,"[-1.516, 1.91]",1.713,0.192,0.848
norefined,k3,-0.740,"[-1.785, 0.305]",1.045,-1.181,0.242
norefined,k4,0.975,"[-0.681, 2.63]",1.656,0.982,0.330
norefined,k5,-1.229,"[-2.705, 0.247]",1.476,-1.389,0.170
refined,tt,-1.773,"[-4.263, 0.717]",2.490,-1.188,0.239
refined,c,-9.164,"[-22.188, 3.859]",13.023,-1.174,0.245
refined,s,-5.149,"[-12.226, 1.929]",7.077,-1.213,0.229
refined,k0,-0.004,"[-1.494, 1.486]",1.490,-0.004,0.997
refined,k1,-0.734,"[-2.309, 0.842]",1.575,-0.777,0.440
refined,k2,-0.318,"[-2.336, 1.701]",2.019,-0.263,0.794
refined,k3,-0.742,"[-2.026, 0.541]",1.284,-0.965,0.338
refined,k4,1.694,"[-1.06, 4.448]",2.754,1.026,0.309
refined,k5,-0.584,"[-2.234, 1.066]",1.650,-0.590,0.557
