stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.387,"[-2.482, -0.291]",1.096,-2.111,0.039
norefined,c,-5.672,"[-10.598, -0.745]",4.927,-1.920,0.059
norefined,s,-3.659,"[-6.722, -0.596]",3.063,-1.993,0.050
norefined,k0,0.549,"[-0.473, 1.571]",1.022,0.896,0.374
norefined,k1,-0.898,"[-2.028, 0.232]",1.130,-1.326,0.189
norefined,k2,0.263,"[-1.069, 1.594]",1.331,0.329,0.743
norefined,k3,-0.623,"[-1.359, 0.113]",0.736,-1.412,0.163
norefined,k4,0.735,"[-0.4, 1.869]",1.135,1.080,0.284
norefined,k5,-1.044,"[-2.054, -0.034]",1.010,-1.725,0.089
refined,tt,-0.768,"[-1.157, -0.379]",0.389,-3.293,0.002
refined,c,-4.608,"[-6.927, -2.288]",2.319,-3.314,0.001
refined,s,-1.974,"[-2.988, -0.961]",1.013,-3.249,0.002
refined,k0,-0.243,"[-0.731, 0.245]",0.488,-0.832,0.408
refined,k1,-0.034,"[-0.489, 0.42]",0.454,-0.126,0.900
refined,k2,-0.321,"[-1.075, 0.433]",0.754,-0.710,0.480
refined,k3,-0.371,"[-0.75, 0.008]",0.379,-1.631,0.108
refined,k4,-0.110,"[-0.681, 0.462]",0.572,-0.320,0.750
refined,k5,0.089,"[-0.488, 0.665]",0.576,0.256,0.799
