stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.564,"[-2.648, -0.479]",1.085,-2.878,0.005
norefined,c,-7.849,"[-13.208, -2.49]",5.359,-2.923,0.005
norefined,s,-3.531,"[-5.975, -1.086]",2.445,-2.883,0.005
norefined,k0,0.644,"[-0.014, 1.302]",0.658,1.952,0.055
norefined,k1,0.074,"[-0.805, 0.952]",0.879,0.168,0.867
norefined,k2,-0.577,"[-1.424, 0.27]",0.847,-1.360,0.178
norefined,k3,0.672,"[0.049, 1.296]",0.623,2.154,0.035
norefined,k4,-0.244,"[-0.808, 0.32]",0.564,-0.864,0.391
norefined,k5,0.250,"[-0.511, 1.012]",0.762,0.656,0.514
refined,tt,-1.107,"[-1.626, -0.588]",0.519,-4.258,0.000
refined,c,-6.452,"[-9.444, -3.461]",2.992,-4.305,0.000
refined,s,-3.345,"[-4.809, -1.88]",1.465,-4.558,0.000
refined,k0,0.284,"[-0.05, 0.617]",0.334,1.694,0.095
refined,k1,0.223,"[-0.332, 0.778]",0.555,0.803,0.425
refined,k2,-0.324,"[-0.757, 0.108]",0.433,-1.497,0.139
refined,k3,-0.072,"[-0.398, 0.253]",0.325,-0.445,0.658
refined,k4,0.223,"[-0.167, 0.612]",0.389,1.142,0.258
refined,k5,0.009,"[-0.484, 0.502]",0.493,0.035,0.972
