stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.222,"[-2.536, 0.093]",1.314,-1.550,0.126
norefined,c,-6.015,"[-12.475, 0.445]",6.460,-1.553,0.125
norefined,s,-3.821,"[-7.896, 0.255]",4.076,-1.564,0.123
norefined,k0,1.181,"[-0.27, 2.631]",1.450,1.358,0.179
norefined,k1,0.073,"[-1.4, 1.546]",1.473,0.082,0.934
norefined,k2,-0.168,"[-1.81, 1.475]",1.642,-0.170,0.865
norefined,k3,0.871,"[-0.798, 2.54]",1.669,0.870,0.387
norefined,k4,-1.383,"[-3.196, 0.429]",1.812,-1.273,0.207
norefined,k5,-0.016,"[-1.696, 1.665]",1.680,-0.016,0.988
refined,tt,-6.128,"[-21.521, 9.266]",15.393,-0.664,0.509
refined,c,-32.870,"[-114.131, 48.392]",81.262,-0.675,0.502
refined,s,-21.230,"[-75.789, 33.33]",54.560,-0.649,0.519
refined,k0,0.946,"[-3.865, 5.757]",4.811,0.328,0.744
refined,k1,15.476,"[-26.526, 57.478]",42.002,0.615,0.541
refined,k2,0.921,"[-2.697, 4.54]",3.619,0.425,0.672
refined,k3,-7.273,"[-30.078, 15.532]",22.805,-0.532,0.597
refined,k4,-5.585,"[-19.84, 8.671]",14.256,-0.653,0.516
refined,k5,-1.297,"[-5.653, 3.058]",4.356,-0.497,0.621
