stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.888,"[-1.579, -0.197]",0.691,-2.564,0.013
norefined,c,-5.980,"[-11.068, -0.892]",5.088,-2.346,0.022
norefined,s,-2.964,"[-5.323, -0.605]",2.359,-2.508,0.015
norefined,k0,-0.259,"[-1.899, 1.38]",1.640,-0.316,0.753
norefined,k1,1.210,"[-0.138, 2.558]",1.348,1.792,0.078
norefined,k2,-1.497,"[-2.73, -0.264]",1.233,-2.423,0.018
norefined,k3,-0.250,"[-1.015, 0.515]",0.765,-0.652,0.517
norefined,k4,0.290,"[-0.546, 1.125]",0.835,0.692,0.491
norefined,k5,-0.195,"[-1.435, 1.044]",1.239,-0.314,0.754
refined,tt,-0.672,"[-0.993, -0.352]",0.320,-4.187,0.000
refined,c,-4.554,"[-6.905, -2.202]",2.351,-3.865,0.000
refined,s,-2.074,"[-3.109, -1.039]",1.035,-4.001,0.000
refined,k0,0.039,"[-0.786, 0.863]",0.825,0.094,0.926
refined,k1,0.131,"[-0.42, 0.682]",0.551,0.475,0.637
refined,k2,-0.073,"[-0.665, 0.518]",0.591,-0.247,0.806
refined,k3,-0.539,"[-1.021, -0.058]",0.482,-2.236,0.029
refined,k4,0.634,"[0.127, 1.142]",0.508,2.495,0.015
refined,k5,0.105,"[-0.554, 0.765]",0.659,0.319,0.751
