stage,iter,theta_tt,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,0.000,278129227.457,13905,0,0,
norefined,2,-0.500,252134882.722,14397,2706,676,
norefined,3,-1.000,225602009.652,14953,3058,738,
norefined,4,-1.500,213727133.754,15505,3036,715,
norefined,5,-2.000,208053364.165,16061,3058,705,
norefined,6,-2.500,203305278.921,16621,3080,678,
norefined,7,-3.000,201010532.742,17177,3058,648,
norefined,8,-3.500,197896200.495,17729,3036,628,
norefined,9,-4.000,196638883.978,18289,3080,614,
norefined,10,-3.500,197227455.837,18289,0,0,
refined,11,-4.000,196638883.978,18289,0,0,
refined,12,-2.609,198193594.785,18289,2214,318,
refined,13,-1.450,197846157.888,18289,2502,107,
refined,14,-1.640,197922015.511,18289,2484,36,
refined,15,-1.761,197637950.037,18289,2502,40,
refined,16,-1.796,197663364.072,18289,2520,105,
refined,17,-1.789,197586702.076,18289,2503,172,
refined,18,-1.797,197890236.854,18289,2484,217,
refined,19,-1.792,197830993.809,18289,2520,243,
refined,20,-1.807,197805468.005,18289,0,0,
