link_key,observed,true_count,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20
"(0, 1621, '0')",0,,1410.1,1407.6,1368.2,1272.1,1219.9,1193.5,1166.4,1168.4,1146.9,1154.5,1146.9,1049.6,1172.6,1124.4,1114.7,1122.7,1119.5,1115.4,1104.5,1102.1
"(61, 93, '0')",0,,406.9,477.9,547.3,550.0,585.5,592.1,590.8,588.4,586.5,589.9,586.5,527.9,545.8,543.5,552.4,556.9,556.2,558.9,561.5,561.2
"(61, 51, '0')",0,,1172.4,1101.3,1031.9,1029.2,993.7,987.1,988.5,990.8,992.7,989.4,992.7,1051.3,1033.4,1035.7,1026.9,1022.3,1023.0,1020.3,1017.7,1018.0
"(57, 51, '0')",0,,338.7,763.6,639.8,566.3,532.2,495.0,462.1,426.5,410.4,428.4,410.4,412.3,423.1,409.1,403.5,402.6,408.0,403.8,404.6,404.2
"(708, 9, '0')",0,,726.5,726.5,726.5,726.5,726.5,726.5,726.5,726.5,726.5,726.5,726.5,726.5,726.5,726.5,726.5,726.5,726.5,726.5,726.5,726.5
"(319, 9, '0')",0,,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0
"(708, 738, '0')",0,,734.0,1128.2,1153.7,1122.2,1073.1,1036.1,1008.1,970.7,953.1,979.9,953.1,944.7,939.2,928.2,926.4,925.6,930.5,926.9,929.5,928.6
"(708, 733, '0')",0,,849.2,715.8,569.3,518.3,499.2,477.6,462.2,452.9,453.7,469.7,453.7,514.1,669.9,635.8,611.6,601.6,598.7,594.8,596.8,594.7
"(1556, 1731, '0')",0,,107.6,107.6,107.6,107.6,107.6,107.6,107.6,107.6,107.6,107.6,107.6,107.6,107.6,107.6,107.6,107.6,107.6,107.6,107.6,107.6
"(160, 95, '0')",0,,1386.5,1720.1,1592.3,1504.6,1434.8,1412.8,1375.3,1368.1,1353.9,1363.6,1353.9,1531.2,1653.2,1621.3,1602.1,1600.4,1615.8,1609.1,1601.3,1599.4
"(2, 43, '0')",1,2642.0,1386.9,1968.4,1463.1,1311.1,1255.1,1223.7,1207.1,1214.5,1221.7,1217.4,1221.7,1305.1,1469.6,1418.7,1399.5,1394.7,1399.0,1393.8,1387.7,1386.0
"(99, 43, '0')",1,2981.0,3298.1,2153.1,2926.4,3245.9,3358.4,3419.6,3446.5,3452.6,3452.7,3449.5,3452.7,3341.3,2943.9,3073.0,3119.3,3132.2,3128.0,3132.3,3134.7,3139.1
"(369, 164, '0')",1,1840.0,305.2,381.4,399.3,403.6,406.2,417.5,416.9,423.4,422.2,425.9,422.2,440.9,456.7,449.9,451.0,429.9,429.6,429.1,432.4,431.8
"(669, 164, '0')",1,2101.0,2873.8,2748.9,2709.0,2683.4,2725.9,2743.9,2761.3,2725.6,2731.6,2716.5,2731.6,2591.6,2538.8,2550.7,2555.4,2560.5,2557.0,2563.2,2562.6,2563.5
"(3, 38, '0')",1,2001.0,1062.7,1031.6,1005.7,1024.8,1069.9,1095.8,1095.7,1034.4,1030.8,1034.8,1030.8,1067.0,1075.0,1069.1,1056.1,1046.2,1049.2,1057.8,1054.6,1054.2
"(3, 19, '0')",1,4807.0,4226.3,4290.0,4119.8,4014.7,3869.3,3805.0,3727.0,3699.4,3689.0,3686.8,3689.0,3679.8,3681.4,3679.2,3683.9,3692.2,3687.3,3683.0,3686.0,3685.9
"(4, 465, '0')",0,,5289.0,5321.5,5125.5,5039.5,4939.2,4900.8,4822.7,4733.8,4719.8,4721.6,4719.8,4746.7,4756.4,4748.3,4740.0,4738.4,4736.5,4740.8,4740.6,4740.2
"(361, 412, '0')",1,999.0,1437.5,1528.5,1526.1,1536.2,1487.0,1456.4,1439.2,1467.8,1462.9,1474.5,1462.9,1588.8,1645.1,1633.3,1623.7,1639.0,1642.9,1637.6,1635.2,1634.5
