stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.421,"[-2.766, -0.077]",1.345,-1.763,0.082
norefined,c,-7.426,"[-14.792, -0.059]",7.366,-1.681,0.097
norefined,s,-3.102,"[-6.074, -0.13]",2.972,-1.741,0.086
norefined,k0,0.299,"[-1.174, 1.771]",1.472,0.338,0.736
norefined,k1,0.981,"[-0.898, 2.861]",1.880,0.871,0.387
norefined,k2,0.224,"[-0.784, 1.232]",1.008,0.371,0.712
norefined,k3,0.419,"[-0.981, 1.818]",1.400,0.499,0.619
norefined,k4,-1.514,"[-3.485, 0.456]",1.971,-1.282,0.204
norefined,k5,0.461,"[-1.325, 2.248]",1.787,0.431,0.668
refined,tt,-0.632,"[-1.069, -0.194]",0.438,-2.407,0.019
refined,c,-3.253,"[-5.546, -0.961]",2.293,-2.367,0.021
refined,s,-2.291,"[-3.796, -0.786]",1.505,-2.539,0.013
refined,k0,0.163,"[-0.536, 0.863]",0.699,0.390,0.698
refined,k1,-0.113,"[-1.165, 0.939]",1.052,-0.179,0.859
refined,k2,-0.214,"[-0.845, 0.417]",0.631,-0.565,0.574
refined,k3,0.003,"[-0.839, 0.845]",0.842,0.006,0.995
refined,k4,0.634,"[-0.297, 1.565]",0.931,1.136,0.260
refined,k5,-0.738,"[-1.659, 0.184]",0.921,-1.335,0.186
