stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.768,"[-1.219, -0.317]",0.451,-2.839,0.006
norefined,c,-5.819,"[-9.344, -2.293]",3.525,-2.753,0.008
norefined,s,-1.894,"[-3.181, -0.608]",1.287,-2.455,0.017
norefined,k0,-1.208,"[-2.279, -0.136]",1.072,-1.880,0.065
norefined,k1,0.666,"[-0.396, 1.728]",1.062,1.047,0.299
norefined,k2,0.534,"[-0.462, 1.531]",0.997,0.894,0.374
norefined,k3,-1.300,"[-2.709, 0.108]",1.408,-1.540,0.128
norefined,k4,-0.773,"[-2.16, 0.614]",1.387,-0.930,0.356
norefined,k5,-0.132,"[-1.227, 0.963]",1.095,-0.201,0.841
refined,tt,-0.932,"[-1.316, -0.547]",0.384,-4.045,0.000
refined,c,-4.999,"[-7.101, -2.896]",2.102,-3.965,0.000
refined,s,-2.608,"[-3.75, -1.466]",1.142,-3.808,0.000
refined,k0,0.310,"[-0.27, 0.89]",0.580,0.891,0.376
refined,k1,-0.165,"[-0.847, 0.517]",0.682,-0.404,0.688
refined,k2,-0.075,"[-0.56, 0.41]",0.485,-0.258,0.797
refined,k3,0.163,"[-0.545, 0.871]",0.708,0.384,0.702
refined,k4,-0.303,"[-1.076, 0.47]",0.773,-0.653,0.516
refined,k5,0.057,"[-0.536, 0.65]",0.593,0.160,0.873
