stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.844,"[-1.758, 0.07]",0.914,-1.540,0.128
norefined,c,-5.543,"[-12.288, 1.203]",6.746,-1.371,0.175
norefined,s,-1.399,"[-3.389, 0.59]",1.989,-1.173,0.245
norefined,k0,-1.172,"[-3.27, 0.927]",2.099,-0.931,0.355
norefined,k1,0.595,"[-1.661, 2.85]",2.256,0.440,0.662
norefined,k2,0.745,"[-1.307, 2.798]",2.052,0.606,0.547
norefined,k3,-1.904,"[-4.928, 1.12]",3.024,-1.050,0.297
norefined,k4,-0.828,"[-3.558, 1.903]",2.731,-0.506,0.615
norefined,k5,-0.469,"[-2.549, 1.611]",2.080,-0.376,0.708
refined,tt,-0.162,"[-0.3, -0.023]",0.139,-1.941,0.056
refined,c,-1.301,"[-2.214, -0.388]",0.913,-2.377,0.020
refined,s,-0.421,"[-0.853, 0.011]",0.432,-1.625,0.109
refined,k0,-0.331,"[-0.862, 0.2]",0.531,-1.041,0.302
refined,k1,0.401,"[-0.19, 0.991]",0.590,1.131,0.262
refined,k2,0.366,"[-0.117, 0.849]",0.483,1.264,0.210
refined,k3,-0.466,"[-1.094, 0.162]",0.628,-1.237,0.221
refined,k4,-0.337,"[-1.043, 0.37]",0.706,-0.795,0.430
refined,k5,-0.226,"[-0.861, 0.408]",0.634,-0.595,0.554
