stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.949,"[-2.941, 1.042]",1.992,-0.864,0.408
norefined,c,-5.922,"[-15.587, 3.743]",9.665,-1.111,0.293
norefined,s,-4.318,"[-11.568, 2.932]",7.250,-1.079,0.306
norefined,k0,-0.781,"[-4.012, 2.45]",3.231,-0.438,0.671
norefined,k1,-1.292,"[-3.419, 0.835]",2.127,-1.101,0.297
norefined,k2,-0.424,"[-5.002, 4.154]",4.578,-0.168,0.870
norefined,k3,0.142,"[-3.528, 3.811]",3.670,0.070,0.946
norefined,k4,-0.175,"[-2.474, 2.124]",2.299,-0.138,0.893
norefined,k5,-0.887,"[-3.14, 1.366]",2.253,-0.714,0.492
refined,tt,-3.533,"[-16.817, 9.751]",13.284,-0.482,0.640
refined,c,-27.682,"[-135.968, 80.604]",108.286,-0.463,0.653
refined,s,-13.148,"[-65.193, 38.898]",52.046,-0.458,0.657
refined,k0,2.249,"[-8.251, 12.748]",10.500,0.388,0.706
refined,k1,4.172,"[-15.524, 23.869]",19.697,0.384,0.709
refined,k2,-1.221,"[-9.051, 6.609]",7.830,-0.283,0.783
refined,k3,-5.924,"[-24.298, 12.449]",18.374,-0.584,0.572
refined,k4,-2.940,"[-11.746, 5.866]",8.806,-0.605,0.559
refined,k5,-0.629,"[-13.422, 12.163]",12.792,-0.089,0.931
