stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,-1.297,-4.829,-3.693,1.023,-0.774,0.274,1.692,0.676,-1.720,593453502.622,0.269
norefined,2,-0.849,-4.987,-3.692,0.904,-0.742,0.200,1.642,0.652,-1.688,425594862.870,0.170
norefined,3,-0.876,-5.266,-3.396,0.728,-0.598,0.148,1.493,0.683,-1.609,330251349.712,0.166
norefined,4,-0.553,-5.480,-3.234,0.571,-0.447,0.117,1.372,0.705,-1.511,388159348.333,0.101
norefined,5,-1.037,-5.494,-3.128,0.564,-0.472,0.133,1.318,0.719,-1.515,311599854.002,0.189
norefined,6,-0.569,-5.600,-3.126,0.481,-0.391,0.111,1.257,0.712,-1.468,341561781.478,0.102
norefined,7,-1.056,-5.605,-3.027,0.476,-0.415,0.129,1.204,0.727,-1.471,290743535.716,0.188
norefined,8,-0.583,-5.701,-3.037,0.401,-0.336,0.110,1.143,0.717,-1.430,305422105.532,0.102
norefined,9,-1.071,-5.699,-2.946,0.398,-0.361,0.130,1.092,0.730,-1.432,273044307.873,0.188
norefined,10,-0.597,-5.789,-2.963,0.328,-0.284,0.113,1.031,0.718,-1.395,276345286.964,0.103
refined,11,-1.071,-5.699,-2.946,0.398,-0.361,0.130,1.092,0.730,-1.432,273044307.873,0.188
refined,12,-0.600,-4.144,-1.847,-0.215,0.288,-0.012,-0.793,0.054,0.416,189968881.975,0.145
refined,13,-0.799,-5.077,-2.399,-0.065,-0.153,-0.105,-0.179,0.262,-0.017,99265644.525,0.157
refined,14,-0.917,-5.913,-2.729,-0.109,-0.159,-0.097,-0.218,0.265,-0.163,96121167.309,0.155
refined,15,-0.961,-6.222,-2.832,-0.182,-0.186,-0.118,-0.248,0.255,-0.219,95638174.243,0.154
refined,16,-0.984,-6.389,-2.884,-0.226,-0.211,-0.129,-0.273,0.248,-0.250,95495286.163,0.154
refined,17,-0.997,-6.485,-2.914,-0.248,-0.226,-0.134,-0.291,0.246,-0.268,95454828.066,0.154
refined,18,-1.003,-6.537,-2.929,-0.258,-0.235,-0.136,-0.301,0.245,-0.278,95444040.177,0.153
refined,19,-1.007,-6.563,-2.937,-0.263,-0.239,-0.137,-0.306,0.244,-0.283,95441267.372,0.153
refined,20,-1.008,-6.577,-2.941,-0.266,-0.242,-0.137,-0.309,0.244,-0.286,95440568.626,0.153
