stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,20.570,2.023,0.000,76,0,9,2311882336.189,614349903.103
refined,52.894,2.023,0.000,76,0,9,2311882336.189,285236074.375
