stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,6.799,7.709,0.060,0,1,27209.563,10078.987,5
refined,22.283,7.709,0.009,0,1,27209.563,4140.989,5
