stage,iter,theta_tt,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,-14.000,29976.746,26,0,0,
norefined,2,-12.000,27599.181,26,0,0,
norefined,3,-10.000,24547.539,26,0,0,
norefined,4,-8.000,20770.650,26,0,0,
norefined,5,-6.000,17941.156,26,0,0,
norefined,6,-4.000,14858.151,26,0,0,
norefined,7,-2.000,7967.433,26,0,0,
norefined,8,0.000,27209.563,26,0,0,
norefined,9,-2.000,7967.433,26,0,0,
norefined,10,0.000,27209.563,26,0,0,
refined,11,-2.000,7967.433,26,0,0,
refined,12,-0.852,4631.444,26,0,0,
refined,13,-1.021,4099.079,26,0,0,
refined,14,-1.049,4081.551,26,0,0,
refined,15,-1.053,4080.571,26,0,0,
refined,16,-1.054,4080.470,26,0,0,
refined,17,-1.054,4080.457,26,0,0,
refined,18,-1.054,4080.456,26,0,0,
refined,19,-1.054,4080.456,26,0,0,
refined,20,-1.054,4080.456,26,0,0,
