stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,9.869,7.709,0.035,0,1,26959.365,7775.389,5
refined,143.992,7.709,0.000,0,1,26959.365,728.669,5
