stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-2.000,"[-3.056, -0.944]",1.056,-5.259,0.006
refined,tt,-1.058,"[-1.343, -0.773]",0.285,-10.320,0.000
