stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.392,"[-2.428, -0.356]",1.036,-2.682,0.009
norefined,c,-5.167,"[-9.211, -1.122]",4.044,-2.550,0.013
norefined,s,-2.804,"[-5.224, -0.384]",2.420,-2.313,0.024
norefined,k0,-0.666,"[-1.857, 0.526]",1.191,-1.116,0.269
norefined,k1,-1.087,"[-2.418, 0.244]",1.331,-1.630,0.108
norefined,k2,-0.329,"[-1.559, 0.9]",1.229,-0.535,0.594
norefined,k3,-0.398,"[-1.613, 0.818]",1.216,-0.653,0.516
norefined,k4,0.244,"[-1.007, 1.494]",1.251,0.389,0.699
norefined,k5,-1.088,"[-2.537, 0.362]",1.449,-1.498,0.139
refined,tt,-0.940,"[-1.274, -0.607]",0.333,-5.631,0.000
refined,c,-5.713,"[-7.532, -3.894]",1.819,-6.269,0.000
refined,s,-2.873,"[-3.914, -1.831]",1.042,-5.505,0.000
refined,k0,0.295,"[-0.238, 0.827]",0.533,1.103,0.274
refined,k1,-0.147,"[-0.547, 0.252]",0.399,-0.737,0.464
refined,k2,-0.158,"[-0.627, 0.31]",0.468,-0.676,0.502
refined,k3,0.131,"[-0.264, 0.526]",0.395,0.662,0.510
refined,k4,0.155,"[-0.407, 0.717]",0.562,0.550,0.584
refined,k5,-0.073,"[-0.609, 0.463]",0.536,-0.272,0.786
